__time,/fmu/in/actuator_motors/control[0],/fmu/in/actuator_motors/control[10],/fmu/in/actuator_motors/control[11],/fmu/in/actuator_motors/control[1],/fmu/in/actuator_motors/control[2],/fmu/in/actuator_motors/control[3],/fmu/in/actuator_motors/control[4],/fmu/in/actuator_motors/control[5],/fmu/in/actuator_motors/control[6],/fmu/in/actuator_motors/control[7],/fmu/in/actuator_motors/control[8],/fmu/in/actuator_motors/control[9],/fmu/in/actuator_motors/reversible_flags,/fmu/in/actuator_motors/timestamp,/fmu/in/actuator_motors/timestamp_sample,/fmu/in/actuator_servos/control[0],/fmu/in/actuator_servos/control[1],/fmu/in/actuator_servos/control[2],/fmu/in/actuator_servos/control[3],/fmu/in/actuator_servos/control[4],/fmu/in/actuator_servos/control[5],/fmu/in/actuator_servos/control[6],/fmu/in/actuator_servos/control[7],/fmu/in/actuator_servos/timestamp,/fmu/in/actuator_servos/timestamp_sample,/fmu/out/vehicle_attitude/delta_q_reset[0],/fmu/out/vehicle_attitude/delta_q_reset[1],/fmu/out/vehicle_attitude/delta_q_reset[2],/fmu/out/vehicle_attitude/delta_q_reset[3],/fmu/out/vehicle_attitude/q[0],/fmu/out/vehicle_attitude/q[1],/fmu/out/vehicle_attitude/q[2],/fmu/out/vehicle_attitude/q[3],/fmu/out/vehicle_attitude/quat_reset_counter,/fmu/out/vehicle_attitude/timestamp,/fmu/out/vehicle_attitude/timestamp_sample
1745491932.584077,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990375996,0.045193087,-0.026304461,0.128144816,10.000000000,1745491932582689.000000000,1745491932582493.000000000
1745491932.584231,0.000499992,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932584179.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.584252,,,,,,,,,,,,,,,,0.040570676,-0.052863952,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932584094.000000000,0.000000000,,,,,,,,,,,
1745491932.595986,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990375221,0.045208070,-0.026314396,0.128143847,10.000000000,1745491932592674.000000000,1745491932592496.000000000
1745491932.596119,,,,,,,,,,,,,,,,0.040585596,-0.052881390,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932596001.000000000,0.000000000,,,,,,,,,,,
1745491932.596153,0.000999933,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932596093.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.603981,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990379572,0.045173120,-0.026303615,0.128124088,10.000000000,1745491932602671.000000000,1745491932602499.000000000
1745491932.604088,0.001499775,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932604033.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.604112,,,,,,,,,,,,,,,,0.040565263,-0.052839655,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932603972.000000000,0.000000000,,,,,,,,,,,
1745491932.614052,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990380168,0.045114845,-0.026306009,0.128139541,10.000000000,1745491932612679.000000000,1745491932612502.000000000
1745491932.614298,,,,,,,,,,,,,,,,0.040559672,-0.052764859,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932614067.000000000,0.000000000,,,,,,,,,,,
1745491932.614346,0.001999467,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932614236.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.623958,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990383506,0.045111071,-0.026314637,0.128113493,10.000000000,1745491932622712.000000000,1745491932622504.000000000
1745491932.624158,,,,,,,,,,,,,,,,0.040568572,-0.052759774,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932624029.000000000,0.000000000,,,,,,,,,,,
1745491932.624198,0.002498958,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932624118.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.634125,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990381241,0.045143336,-0.026304971,0.128121391,10.000000000,1745491932632743.000000000,1745491932632507.000000000
1745491932.634276,,,,,,,,,,,,,,,,0.040562008,-0.052801836,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932634105.000000000,0.000000000,,,,,,,,,,,
1745491932.634585,0.002998200,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932634321.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.645319,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990380108,0.045180347,-0.026297268,0.128119290,10.000000000,1745491932642816.000000000,1745491932642510.000000000
1745491932.645669,0.003497142,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932645535.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.645712,,,,,,,,,,,,,,,,0.040558167,-0.052850019,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932645394.000000000,0.000000000,,,,,,,,,,,
1745491932.655147,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990381181,0.045172010,-0.026294956,0.128114074,10.000000000,1745491932652684.000000000,1745491932652512.000000000
1745491932.655444,0.003995735,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932655320.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.655481,,,,,,,,,,,,,,,,0.040553618,-0.052840032,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932655185.000000000,0.000000000,,,,,,,,,,,
1745491932.664054,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990381479,0.045150630,-0.026295867,0.128119126,10.000000000,1745491932662695.000000000,1745491932662515.000000000
1745491932.664310,,,,,,,,,,,,,,,,0.040551573,-0.052812614,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932664134.000000000,0.000000000,,,,,,,,,,,
1745491932.664361,0.004493928,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932664264.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
